t,h_1,h_2,h_3
0,0.0,0.0,0.0
1,0.129470521588223,0.12391976127238599,0.0
2,0.256821645578655,0.24703536034985996,0.0
3,0.382106844160875,0.36931885385983204,0.0
4,0.5053773252299001,0.49074763750296396,0.0
5,0.626682179380022,0.611303677661856,0.0
6,0.7460685139483709,0.7309728575871509,0.0
7,0.8635815755372479,0.849744419893311,0.0
8,0.9792648622562892,0.9676104902030699,0.0
9,1.0931602267659999,1.08456566932823,0.0
10,1.20530797106841,1.2006066834696298,0.0
11,1.31574693387451,1.3157320836450501,0.0
12,1.4245145712783998,1.42994198697932,0.0
13,1.53164703138237,1.54323785366999,0.0
14,1.6371792234429698,1.6556222944208798,0.0
15,1.74114488204379,1.7670989039490699,0.0
16,1.84357662674498,1.87767211684895,4.64281341128471e-05
17,1.9445060176104798,1.9873470826637398,0.00416086408234502
18,2.04396360697178,2.09612955748866,0.0138454575210107
19,2.1419789877491597,2.20402580982849,0.0279465122371982
20,2.23858083861889,2.3110425387665696,0.0456426272025932
21,2.33379696628583,2.41718680278486,0.0663241444803846
22,2.42765434509504,2.52246595781306,0.0895237198862797
23,2.52017915419369,2.62688760328642,0.114873750365702
24,2.61139681243437,2.7304595351634102,0.142078940321284
25,2.70133201119277,2.8331897049999304,0.170897894996517
26,2.79000874525711,2.93508618430065,0.201130349671638
27,2.87745034193227,3.0361571334741098,0.23260805494009804
28,2.96367948848884,3.13641077480863,0.26518811210078697
29,3.0487182580759002,3.2358553689636405,0.298747996962982
30,3.13258813420626,3.3344991945376803,0.333181775715544
31,3.21531003391327,3.4323505303314197,0.368397180512198
32,3.29690432967048,3.52941763997361,0.404313316852923
33,3.3773908701575297,3.62570875862003,0.4408588431086479
34,3.45678899994904,3.7212320814726003,0.477970508219271
35,3.53511757819722,3.8159957538974796,0.515591964810764
36,3.61239499637308,3.91000786294851,0.553672796712514
37,3.6886391951263398,4.00327643012648,0.592167715250382
38,3.76386768031934,4.09580940522526,0.631035889764328
39,3.83809753828618,4.18761466113421,0.670240385878371
40,3.91134545036449,4.27869998948197,0.7097476910218521
41,3.9836277067435897,4.36907309702044,0.749527311167455
42,4.05496021966987,4.45874160265998,0.7895514261294598
43,4.12535853604712,4.54771303507742,0.8297945933469041
44,4.19483784946677,4.63599483082743,0.870233492067333
45,4.26341301170097,4.72359433289634,0.91084670139648
46,4.33109854368863,4.81051878964437,0.9516145068951669
47,4.39790864604286,4.89677535408835,0.992518731366397
48,4.46385720910622,4.9823710834830095,1.0335425862416898
49,4.5289578225783895,5.06731293916324,1.07467054059009
50,4.59322378473937,5.15160778661438,1.11588820526941
51,4.65666811128967,5.235262395741191,1.1571822301418302
52,4.7193035438276,5.31828344130954,1.1985402126054199
53,4.78114255798274,5.40067750353789,1.23995061596294
54,4.842197371223019,5.4824510688181105,1.28140269637271
55,4.90247995035214,5.56361053054757,1.32288643731119
56,4.96200201871296,5.64416219005661,1.36439249063126
57,5.02077506311129,5.72411225761696,1.4059121234291398
58,5.07881034047403,5.80346685351887,1.44743717004157
59,5.136118884254481,5.88223200920539,1.48895998858637
60,5.19271151059702,5.9604136684544,1.53047342153718
61,5.24859882427262,6.03801768859918,1.5719707598889399
62,5.30379122439601,6.11504984178024,1.61344571052733
63,5.3582989099346605,6.1915158162212,1.6548923664633
64,5.412131885019179,6.267421217523,1.69630517963527
65,5.4652999640642905,6.34277156997092,1.7376789360174798
66,5.51781277670887,6.41757231784976,1.7790087328033501
67,5.569679772583161,6.49182882676317,1.8202899574598899
68,5.620910225910929,6.5655463849533495,1.8615182684722
69,5.671513239953691,6.638730204618129,1.90268957761707
70,5.721497751303941,6.71138542322246,1.94380003362293
71,5.77087253403397,6.78351710480212,1.98484600708821
72,5.8196462037062195,6.85513024125729,2.02582407654428
